Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.91,0.31,0.58810037
75% Corpus,7,0.91,0.61,0.544818876
75% Corpus,7,0.91,0.91,0.545720295
75% Corpus,7,0.91,symmetric,0.569996299
75% Corpus,7,symmetric,0.01,0.55602054
75% Corpus,7,symmetric,0.31,0.532487827
75% Corpus,7,symmetric,0.61,0.545681331
75% Corpus,7,symmetric,0.91,0.546510976
75% Corpus,7,symmetric,symmetric,0.530790538
75% Corpus,7,asymmetric,0.01,0.586580882
75% Corpus,7,asymmetric,0.31,0.590452939
75% Corpus,7,asymmetric,0.61,0.613770618
75% Corpus,7,asymmetric,0.91,0.556824514
75% Corpus,7,asymmetric,symmetric,0.574459186
75% Corpus,8,0.01,0.01,0.559430397
75% Corpus,8,0.01,0.31,0.567050154
75% Corpus,8,0.01,0.61,0.567901277
75% Corpus,8,0.01,0.91,0.583044327
75% Corpus,8,0.01,symmetric,0.567566888
75% Corpus,8,0.31,0.01,0.574109251
75% Corpus,8,0.31,0.31,0.552501211
75% Corpus,8,0.31,0.61,0.558912616
75% Corpus,8,0.31,0.91,0.566477327
75% Corpus,8,0.31,symmetric,0.564322173
75% Corpus,8,0.61,0.01,0.550936682
75% Corpus,8,0.61,0.31,0.560352663
75% Corpus,8,0.61,0.61,0.554175628
75% Corpus,8,0.61,0.91,0.586574492
75% Corpus,8,0.61,symmetric,0.530533734
75% Corpus,8,0.91,0.01,0.56243922
75% Corpus,8,0.91,0.31,0.544790757
75% Corpus,8,0.91,0.61,0.528651955
75% Corpus,8,0.91,0.91,0.504920709
75% Corpus,8,0.91,symmetric,0.541284678
75% Corpus,8,symmetric,0.01,0.583727474
75% Corpus,8,symmetric,0.31,0.565492681
75% Corpus,8,symmetric,0.61,0.575017997
75% Corpus,8,symmetric,0.91,0.561054153
75% Corpus,8,symmetric,symmetric,0.584266809
75% Corpus,8,asymmetric,0.01,0.608147711
75% Corpus,8,asymmetric,0.31,0.57501933
75% Corpus,8,asymmetric,0.61,0.653951395
75% Corpus,8,asymmetric,0.91,0.583580343
75% Corpus,8,asymmetric,symmetric,0.568662486
75% Corpus,9,0.01,0.01,0.556738611
75% Corpus,9,0.01,0.31,0.518630823
75% Corpus,9,0.01,0.61,0.535562961
75% Corpus,9,0.01,0.91,0.567310302
75% Corpus,9,0.01,symmetric,0.52093995
75% Corpus,9,0.31,0.01,0.547652185
75% Corpus,9,0.31,0.31,0.544310524
75% Corpus,9,0.31,0.61,0.559781739
75% Corpus,9,0.31,0.91,0.561726274
75% Corpus,9,0.31,symmetric,0.550231876
75% Corpus,9,0.61,0.01,0.550565996
75% Corpus,9,0.61,0.31,0.560466491
75% Corpus,9,0.61,0.61,0.563439134
75% Corpus,9,0.61,0.91,0.575484791
75% Corpus,9,0.61,symmetric,0.566997735
75% Corpus,9,0.91,0.01,0.604704942
75% Corpus,9,0.91,0.31,0.577597324
75% Corpus,9,0.91,0.61,0.52121023
75% Corpus,9,0.91,0.91,0.492021573
75% Corpus,9,0.91,symmetric,0.56746085
75% Corpus,9,symmetric,0.01,0.54051003
75% Corpus,9,symmetric,0.31,0.531622845
75% Corpus,9,symmetric,0.61,0.553350006
75% Corpus,9,symmetric,0.91,0.529218047
75% Corpus,9,symmetric,symmetric,0.571607553
75% Corpus,9,asymmetric,0.01,0.592935922
75% Corpus,9,asymmetric,0.31,0.555873995
75% Corpus,9,asymmetric,0.61,0.602779878
75% Corpus,9,asymmetric,0.91,0.560001342
75% Corpus,9,asymmetric,symmetric,0.568795688
75% Corpus,10,0.01,0.01,0.555128446
75% Corpus,10,0.01,0.31,0.569257317
75% Corpus,10,0.01,0.61,0.574739733
75% Corpus,10,0.01,0.91,0.582276409
75% Corpus,10,0.01,symmetric,0.54147232
75% Corpus,10,0.31,0.01,0.604898328
75% Corpus,10,0.31,0.31,0.554188942
75% Corpus,10,0.31,0.61,0.562788501
75% Corpus,10,0.31,0.91,0.562186236
75% Corpus,10,0.31,symmetric,0.584572787
75% Corpus,10,0.61,0.01,0.58261361
75% Corpus,10,0.61,0.31,0.578794451
75% Corpus,10,0.61,0.61,0.595084357
75% Corpus,10,0.61,0.91,0.577804489
75% Corpus,10,0.61,symmetric,0.583320617
75% Corpus,10,0.91,0.01,0.581240059
75% Corpus,10,0.91,0.31,0.534607011
75% Corpus,10,0.91,0.61,0.53679003
75% Corpus,10,0.91,0.91,0.498569305
75% Corpus,10,0.91,symmetric,0.563676312
75% Corpus,10,symmetric,0.01,0.556341872
75% Corpus,10,symmetric,0.31,0.549439821
75% Corpus,10,symmetric,0.61,0.588075327
75% Corpus,10,symmetric,0.91,0.584804379
75% Corpus,10,symmetric,symmetric,0.565265522
75% Corpus,10,asymmetric,0.01,0.599152999
75% Corpus,10,asymmetric,0.31,0.571900055
75% Corpus,10,asymmetric,0.61,0.591562629
75% Corpus,10,asymmetric,0.91,0.596396996
75% Corpus,10,asymmetric,symmetric,0.559165429
